Area,Country,Year,Series,Capital_city,Value
203,Czechia,2010,Capital city population (as a percentage of total urban population),Prague,16.0
203,Czechia,2015,Urban population (percent),,73.5
203,Czechia,2015,Urban population (percent growth rate per annum),,0.2
203,Czechia,2015,Rural population (percent growth rate per annum),,0.0
203,Czechia,2015,Capital city population (thousands),Prague,1269.0
203,Czechia,2015,Capital city population (as a percentage of total population),Prague,12.0
203,Czechia,2015,Capital city population (as a percentage of total urban population),Prague,16.3
203,Czechia,2018,Urban population (percent),,73.8
203,Czechia,2018,Capital city population (thousands),Prague,1292.0
408,Dem. People's Rep. Korea,2005,Urban population (percent),,59.8
408,Dem. People's Rep. Korea,2005,Urban population (percent growth rate per annum),,1.0
408,Dem. People's Rep. Korea,2005,Rural population (percent growth rate per annum),,0.6
408,Dem. People's Rep. Korea,2005,Capital city population (thousands),Pyongyang,2805.0
408,Dem. People's Rep. Korea,2005,Capital city population (as a percentage of total population),Pyongyang,11.7
408,Dem. People's Rep. Korea,2005,Capital city population (as a percentage of total urban population),Pyongyang,19.6
408,Dem. People's Rep. Korea,2010,Urban population (percent),,60.4
408,Dem. People's Rep. Korea,2010,Urban population (percent growth rate per annum),,0.8
408,Dem. People's Rep. Korea,2010,Rural population (percent growth rate per annum),,0.3
408,Dem. People's Rep. Korea,2010,Capital city population (thousands),Pyongyang,2861.0
408,Dem. People's Rep. Korea,2010,Capital city population (as a percentage of total population),Pyongyang,11.6
408,Dem. People's Rep. Korea,2010,Capital city population (as a percentage of total urban population),Pyongyang,19.3
408,Dem. People's Rep. Korea,2015,Urban population (percent),,61.3
408,Dem. People's Rep. Korea,2015,Urban population (percent growth rate per annum),,0.8
408,Dem. People's Rep. Korea,2015,Rural population (percent growth rate per annum),,0.1
408,Dem. People's Rep. Korea,2015,Capital city population (thousands),Pyongyang,2970.0
408,Dem. People's Rep. Korea,2015,Capital city population (as a percentage of total population),Pyongyang,11.8
408,Dem. People's Rep. Korea,2015,Capital city population (as a percentage of total urban population),Pyongyang,19.2
408,Dem. People's Rep. Korea,2018,Urban population (percent),,61.9
408,Dem. People's Rep. Korea,2018,Capital city population (thousands),Pyongyang,3038.0
180,Dem. Rep. of the Congo,2005,Urban population (percent),,37.5
180,Dem. Rep. of the Congo,2005,Urban population (percent growth rate per annum),,4.3
180,Dem. Rep. of the Congo,2005,Rural population (percent growth rate per annum),,2.3
180,Dem. Rep. of the Congo,2005,Capital city population (thousands),Kinshasa,7589.0
180,Dem. Rep. of the Congo,2005,Capital city population (as a percentage of total population),Kinshasa,13.9
180,Dem. Rep. of the Congo,2005,Capital city population (as a percentage of total urban population),Kinshasa,37.0
180,Dem. Rep. of the Congo,2010,Urban population (percent),,40.0
180,Dem. Rep. of the Congo,2010,Urban population (percent growth rate per annum),,4.6
180,Dem. Rep. of the Congo,2010,Rural population (percent growth rate per annum),,2.5
180,Dem. Rep. of the Congo,2010,Capital city population (thousands),Kinshasa,9382.0
180,Dem. Rep. of the Congo,2010,Capital city population (as a percentage of total population),Kinshasa,14.5
180,Dem. Rep. of the Congo,2010,Capital city population (as a percentage of total urban population),Kinshasa,36.3
180,Dem. Rep. of the Congo,2015,Urban population (percent),,42.7
180,Dem. Rep. of the Congo,2015,Urban population (percent growth rate per annum),,4.6
180,Dem. Rep. of the Congo,2015,Rural population (percent growth rate per annum),,2.4
180,Dem. Rep. of the Congo,2015,Capital city population (thousands),Kinshasa,11598.0
180,Dem. Rep. of the Congo,2015,Capital city population (as a percentage of total population),Kinshasa,15.2
180,Dem. Rep. of the Congo,2015,Capital city population (as a percentage of total urban population),Kinshasa,35.6
180,Dem. Rep. of the Congo,2018,Urban population (percent),,44.5
180,Dem. Rep. of the Congo,2018,Capital city population (thousands),Kinshasa,13171.0
208,Denmark,2005,Urban population (percent),,85.9
208,Denmark,2005,Urban population (percent growth rate per annum),,0.5
208,Denmark,2005,Rural population (percent growth rate per annum),,-0.7
208,Denmark,2005,Capital city population (thousands),Copenhagen,1127.0
208,Denmark,2005,Capital city population (as a percentage of total population),Copenhagen,20.8
208,Denmark,2005,Capital city population (as a percentage of total urban population),Copenhagen,24.2
208,Denmark,2010,Urban population (percent),,86.8
208,Denmark,2010,Urban population (percent growth rate per annum),,0.7
208,Denmark,2010,Rural population (percent growth rate per annum),,-0.9
208,Denmark,2010,Capital city population (thousands),Copenhagen,1192.0
208,Denmark,2010,Capital city population (as a percentage of total population),Copenhagen,21.5
208,Denmark,2010,Capital city population (as a percentage of total urban population),Copenhagen,24.7
208,Denmark,2015,Urban population (percent),,87.5
208,Denmark,2015,Urban population (percent growth rate per annum),,0.6
208,Denmark,2015,Rural population (percent growth rate per annum),,-0.7
208,Denmark,2015,Capital city population (thousands),Copenhagen,1271.0
208,Denmark,2015,Capital city population (as a percentage of total population),Copenhagen,22.3
208,Denmark,2015,Capital city population (as a percentage of total urban population),Copenhagen,25.5
208,Denmark,2018,Urban population (percent),,87.9
208,Denmark,2018,Capital city population (thousands),Copenhagen,1321.0
262,Djibouti,2005,Urban population (percent),,76.8
262,Djibouti,2005,Urban population (percent growth rate per annum),,1.8
262,Djibouti,2005,Rural population (percent growth rate per annum),,1.6
262,Djibouti,2005,Capital city population (thousands),Djibouti,442.0
262,Djibouti,2005,Capital city population (as a percentage of total population),Djibouti,56.5
262,Djibouti,2005,Capital city population (as a percentage of total urban population),Djibouti,73.6
262,Djibouti,2010,Urban population (percent),,77.0
262,Djibouti,2010,Urban population (percent growth rate per annum),,1.7
262,Djibouti,2010,Rural population (percent growth rate per annum),,1.5
262,Djibouti,2010,Capital city population (thousands),Djibouti,485.0
262,Djibouti,2010,Capital city population (as a percentage of total population),Djibouti,57.0
262,Djibouti,2010,Capital city population (as a percentage of total urban population),Djibouti,74.0
262,Djibouti,2015,Urban population (percent),,77.4
262,Djibouti,2015,Urban population (percent growth rate per annum),,1.8
262,Djibouti,2015,Rural population (percent growth rate per annum),,1.4
262,Djibouti,2015,Capital city population (thousands),Djibouti,531.0
262,Djibouti,2015,Capital city population (as a percentage of total population),Djibouti,57.3
262,Djibouti,2015,Capital city population (as a percentage of total urban population),Djibouti,74.0
262,Djibouti,2018,Urban population (percent),,77.8
262,Djibouti,2018,Capital city population (thousands),Djibouti,562.0
212,Dominica,2005,Urban population (percent),,66.6
212,Dominica,2005,Urban population (percent growth rate per annum),,0.7
212,Dominica,2005,Rural population (percent growth rate per annum),,-0.5
212,Dominica,2010,Urban population (percent),,68.1
212,Dominica,2010,Urban population (percent growth rate per annum),,0.7
212,Dominica,2010,Rural population (percent growth rate per annum),,-0.7
212,Dominica,2015,Urban population (percent),,69.6
212,Dominica,2015,Urban population (percent growth rate per annum),,0.9
212,Dominica,2015,Rural population (percent growth rate per annum),,-0.5
212,Dominica,2018,Urban population (percent),,70.5
212,Dominica,2018,Capital city population (thousands),Roseau,15.0
214,Dominican Republic,2005,Urban population (percent),,67.4
214,Dominican Republic,2005,Urban population (percent growth rate per annum),,3.3
214,Dominican Republic,2005,Rural population (percent growth rate per annum),,-1.7
214,Dominican Republic,2005,Capital city population (thousands),Santo Domingo,2297.0
214,Dominican Republic,2005,Capital city population (as a percentage of total population),Santo Domingo,24.9
214,Dominican Republic,2005,Capital city population (as a percentage of total urban population),Santo Domingo,36.9
214,Dominican Republic,2010,Urban population (percent),,73.8
214,Dominican Republic,2010,Urban population (percent growth rate per annum),,3.2
214,Dominican Republic,2010,Rural population (percent growth rate per annum),,-3.0
214,Dominican Republic,2010,Capital city population (thousands),Santo Domingo,2601.0
214,Dominican Republic,2010,Capital city population (as a percentage of total population),Santo Domingo,26.3
214,Dominican Republic,2010,Capital city population (as a percentage of total urban population),Santo Domingo,35.6
214,Dominican Republic,2015,Urban population (percent),,78.6
214,Dominican Republic,2015,Urban population (percent growth rate per annum),,2.5
214,Dominican Republic,2015,Rural population (percent growth rate per annum),,-2.8
214,Dominican Republic,2015,Capital city population (thousands),Santo Domingo,2945.0
214,Dominican Republic,2015,Capital city population (as a percentage of total population),Santo Domingo,28.0
214,Dominican Republic,2015,Capital city population (as a percentage of total urban population),Santo Domingo,35.6
214,Dominican Republic,2018,Urban population (percent),,81.1
214,Dominican Republic,2018,Capital city population (thousands),Santo Domingo,3172.0
218,Ecuador,2005,Urban population (percent),,61.7
218,Ecuador,2005,Urban population (percent growth rate per annum),,2.1
218,Ecuador,2005,Rural population (percent growth rate per annum),,1.0
218,Ecuador,2005,Capital city population (thousands),Quito,1479.0
218,Ecuador,2005,Capital city population (as a percentage of total population),Quito,10.8
218,Ecuador,2005,Capital city population (as a percentage of total urban population),Quito,17.5
218,Ecuador,2010,Urban population (percent),,62.7
218,Ecuador,2010,Urban population (percent growth rate per annum),,2.0
218,Ecuador,2010,Rural population (percent growth rate per annum),,1.2
218,Ecuador,2010,Capital city population (thousands),Quito,1598.0
218,Ecuador,2010,Capital city population (as a percentage of total population),Quito,10.7
218,Ecuador,2010,Capital city population (as a percentage of total urban population),Quito,17.1
218,Ecuador,2015,Urban population (percent),,63.4
218,Ecuador,2015,Urban population (percent growth rate per annum),,1.8
218,Ecuador,2015,Rural population (percent growth rate per annum),,1.2
218,Ecuador,2015,Capital city population (thousands),Quito,1734.0
218,Ecuador,2015,Capital city population (as a percentage of total population),Quito,10.7
218,Ecuador,2015,Capital city population (as a percentage of total urban population),Quito,16.9
218,Ecuador,2018,Urban population (percent),,63.8
218,Ecuador,2018,Capital city population (thousands),Quito,1822.0
818,Egypt,2005,Urban population (percent),,43.0
818,Egypt,2005,Urban population (percent growth rate per annum),,2.0
818,Egypt,2005,Rural population (percent growth rate per annum),,1.8
818,Egypt,2005,Capital city population (thousands),Cairo,15174.0
818,Egypt,2005,Capital city population (as a percentage of total population),Cairo,19.8
818,Egypt,2005,Capital city population (as a percentage of total urban population),Cairo,45.9
818,Egypt,2010,Urban population (percent),,43.0
818,Egypt,2010,Urban population (percent growth rate per annum),,1.8
818,Egypt,2010,Rural population (percent growth rate per annum),,1.8
818,Egypt,2010,Capital city population (thousands),Cairo,16899.0
818,Egypt,2010,Capital city population (as a percentage of total population),Cairo,20.1
818,Egypt,2010,Capital city population (as a percentage of total urban population),Cairo,46.7
818,Egypt,2015,Urban population (percent),,42.8
818,Egypt,2015,Urban population (percent growth rate per annum),,2.1
818,Egypt,2015,Rural population (percent growth rate per annum),,2.3
818,Egypt,2015,Capital city population (thousands),Cairo,18820.0
818,Egypt,2015,Capital city population (as a percentage of total population),Cairo,20.1
818,Egypt,2015,Capital city population (as a percentage of total urban population),Cairo,46.9
818,Egypt,2018,Urban population (percent),,42.7
818,Egypt,2018,Capital city population (thousands),Cairo,20076.0
222,El Salvador,2005,Urban population (percent),,61.6
222,El Salvador,2005,Urban population (percent growth rate per annum),,1.5
222,El Salvador,2005,Rural population (percent growth rate per annum),,-0.8
222,El Salvador,2005,Capital city population (thousands),San Salvador,1074.0
222,El Salvador,2005,Capital city population (as a percentage of total population),San Salvador,17.8
222,El Salvador,2005,Capital city population (as a percentage of total urban population),San Salvador,28.9
222,El Salvador,2010,Urban population (percent),,65.5
222,El Salvador,2010,Urban population (percent growth rate per annum),,1.6
222,El Salvador,2010,Rural population (percent growth rate per annum),,-1.6
222,El Salvador,2010,Capital city population (thousands),San Salvador,1086.0
222,El Salvador,2010,Capital city population (as a percentage of total population),San Salvador,17.6
222,El Salvador,2010,Capital city population (as a percentage of total urban population),San Salvador,26.9
222,El Salvador,2015,Urban population (percent),,69.7
222,El Salvador,2015,Urban population (percent growth rate per annum),,1.7
222,El Salvador,2015,Rural population (percent growth rate per annum),,-2.1
222,El Salvador,2015,Capital city population (thousands),San Salvador,1099.0
222,El Salvador,2015,Capital city population (as a percentage of total population),San Salvador,17.4
222,El Salvador,2015,Capital city population (as a percentage of total urban population),San Salvador,25.0
222,El Salvador,2018,Urban population (percent),,72.0
222,El Salvador,2018,Capital city population (thousands),San Salvador,1107.0
226,Equatorial Guinea,2005,Urban population (percent),,57.7
226,Equatorial Guinea,2005,Urban population (percent growth rate per annum),,7.4
226,Equatorial Guinea,2005,Rural population (percent growth rate per annum),,0.5
226,Equatorial Guinea,2010,Urban population (percent),,65.9
226,Equatorial Guinea,2010,Urban population (percent growth rate per annum),,7.2
226,Equatorial Guinea,2010,Rural population (percent growth rate per annum),,0.2
226,Equatorial Guinea,2015,Urban population (percent),,70.6
226,Equatorial Guinea,2015,Urban population (percent growth rate per annum),,5.6
226,Equatorial Guinea,2015,Rural population (percent growth rate per annum),,1.3
226,Equatorial Guinea,2018,Urban population (percent),,72.1
226,Equatorial Guinea,2018,Capital city population (thousands),Malabo,297.0
232,Eritrea,2005,Urban population (percent),,31.1
232,Eritrea,2005,Urban population (percent growth rate per annum),,6.3
232,Eritrea,2005,Rural population (percent growth rate per annum),,1.9
232,Eritrea,2005,Capital city population (thousands),Asmara,558.0
232,Eritrea,2005,Capital city population (as a percentage of total population),Asmara,14.1
232,Eritrea,2005,Capital city population (as a percentage of total urban population),Asmara,45.2
232,Eritrea,2010,Urban population (percent),,35.2
232,Eritrea,2010,Urban population (percent growth rate per annum),,4.5
232,Eritrea,2010,Rural population (percent growth rate per annum),,0.8
232,Eritrea,2010,Capital city population (thousands),Asmara,670.0
232,Eritrea,2010,Capital city population (as a percentage of total population),Asmara,15.3
232,Eritrea,2010,Capital city population (as a percentage of total urban population),Asmara,43.4
232,Eritrea,2015,Urban population (percent),,38.2
232,Eritrea,2015,Urban population (percent growth rate per annum),,3.6
232,Eritrea,2015,Rural population (percent growth rate per annum),,1.0
232,Eritrea,2015,Capital city population (thousands),Asmara,803.0
232,Eritrea,2015,Capital city population (as a percentage of total population),Asmara,16.6
232,Eritrea,2015,Capital city population (as a percentage of total urban population),Asmara,43.4
232,Eritrea,2018,Urban population (percent),,40.1
232,Eritrea,2018,Capital city population (thousands),Asmara,896.0
233,Estonia,2005,Urban population (percent),,68.7
233,Estonia,2005,Urban population (percent growth rate per annum),,-0.8
233,Estonia,2005,Rural population (percent growth rate per annum),,-0.2
233,Estonia,2005,Capital city population (thousands),Tallinn,397.0
233,Estonia,2005,Capital city population (as a percentage of total population),Tallinn,29.3
233,Estonia,2005,Capital city population (as a percentage of total urban population),Tallinn,42.6
233,Estonia,2010,Urban population (percent),,68.1
233,Estonia,2010,Urban population (percent growth rate per annum),,-0.5
233,Estonia,2010,Rural population (percent growth rate per annum),,0.1
233,Estonia,2010,Capital city population (thousands),Tallinn,394.0
233,Estonia,2010,Capital city population (as a percentage of total population),Tallinn,29.6
233,Estonia,2010,Capital city population (as a percentage of total urban population),Tallinn,43.5
233,Estonia,2015,Urban population (percent),,68.4
233,Estonia,2015,Urban population (percent growth rate per annum),,-0.2
233,Estonia,2015,Rural population (percent growth rate per annum),,-0.5
233,Estonia,2015,Capital city population (thousands),Tallinn,416.0
233,Estonia,2015,Capital city population (as a percentage of total population),Tallinn,31.6
233,Estonia,2015,Capital city population (as a percentage of total urban population),Tallinn,46.3
233,Estonia,2018,Urban population (percent),,68.9
233,Estonia,2018,Capital city population (thousands),Tallinn,437.0
748,Eswatini,2005,Urban population (percent),,22.0
748,Eswatini,2005,Urban population (percent growth rate per annum),,0.2
748,Eswatini,2005,Rural population (percent growth rate per annum),,1.0
748,Eswatini,2010,Urban population (percent),,22.5
748,Eswatini,2010,Urban population (percent growth rate per annum),,2.1
748,Eswatini,2010,Rural population (percent growth rate per annum),,1.6
748,Eswatini,2015,Urban population (percent),,23.3
748,Eswatini,2015,Urban population (percent growth rate per annum),,2.6
748,Eswatini,2015,Rural population (percent growth rate per annum),,1.6
748,Eswatini,2018,Urban population (percent),,23.8
748,Eswatini,2018,Capital city population (thousands),Mbabane,68.0
231,Ethiopia,2005,Urban population (percent),,15.7
231,Ethiopia,2005,Urban population (percent growth rate per annum),,4.1
231,Ethiopia,2005,Rural population (percent growth rate per annum),,2.6
231,Ethiopia,2005,Capital city population (thousands),Addis Ababa,2634.0
231,Ethiopia,2005,Capital city population (as a percentage of total population),Addis Ababa,3.4
231,Ethiopia,2005,Capital city population (as a percentage of total urban population),Addis Ababa,21.9
231,Ethiopia,2010,Urban population (percent),,17.3
231,Ethiopia,2010,Urban population (percent growth rate per annum),,4.6
231,Ethiopia,2010,Rural population (percent growth rate per annum),,2.3
231,Ethiopia,2010,Capital city population (thousands),Addis Ababa,3126.0
231,Ethiopia,2010,Capital city population (as a percentage of total population),Addis Ababa,3.6
231,Ethiopia,2010,Capital city population (as a percentage of total urban population),Addis Ababa,20.6
231,Ethiopia,2015,Urban population (percent),,19.4
231,Ethiopia,2015,Urban population (percent growth rate per annum),,4.9
231,Ethiopia,2015,Rural population (percent growth rate per annum),,2.1
231,Ethiopia,2015,Capital city population (thousands),Addis Ababa,3871.0
231,Ethiopia,2015,Capital city population (as a percentage of total population),Addis Ababa,3.9
231,Ethiopia,2015,Capital city population (as a percentage of total urban population),Addis Ababa,19.9
231,Ethiopia,2018,Urban population (percent),,20.8
231,Ethiopia,2018,Capital city population (thousands),Addis Ababa,4400.0
238,Falkland Islands (Malvinas),2005,Urban population (percent),,70.8
238,Falkland Islands (Malvinas),2005,Urban population (percent growth rate per annum),,1.3
238,Falkland Islands (Malvinas),2005,Rural population (percent growth rate per annum),,-1.7
238,Falkland Islands (Malvinas),2010,Urban population (percent),,73.7
238,Falkland Islands (Malvinas),2010,Urban population (percent growth rate per annum),,0.2
238,Falkland Islands (Malvinas),2010,Rural population (percent growth rate per annum),,-2.6
238,Falkland Islands (Malvinas),2015,Urban population (percent),,76.3
238,Falkland Islands (Malvinas),2015,Urban population (percent growth rate per annum),,1.0
238,Falkland Islands (Malvinas),2015,Rural population (percent growth rate per annum),,-1.8
238,Falkland Islands (Malvinas),2018,Urban population (percent),,77.7
238,Falkland Islands (Malvinas),2018,Capital city population (thousands),Stanley,2.0
234,Faroe Islands,2005,Urban population (percent),,39.8
234,Faroe Islands,2005,Urban population (percent growth rate per annum),,2.2
234,Faroe Islands,2005,Rural population (percent growth rate per annum),,-0.7
234,Faroe Islands,2010,Urban population (percent),,40.9
234,Faroe Islands,2010,Urban population (percent growth rate per annum),,0.7
234,Faroe Islands,2010,Rural population (percent growth rate per annum),,-0.3
234,Faroe Islands,2015,Urban population (percent),,41.6
234,Faroe Islands,2015,Urban population (percent growth rate per annum),,0.5
234,Faroe Islands,2015,Rural population (percent growth rate per annum),,-0.1
234,Faroe Islands,2018,Urban population (percent),,42.1
234,Faroe Islands,2018,Capital city population (thousands),Tórshavn,21.0
242,Fiji,2005,Urban population (percent),,49.9
242,Fiji,2005,Urban population (percent growth rate per annum),,1.1
242,Fiji,2005,Rural population (percent growth rate per annum),,-0.5
242,Fiji,2010,Urban population (percent),,52.2
242,Fiji,2010,Urban population (percent growth rate per annum),,1.8
242,Fiji,2010,Rural population (percent growth rate per annum),,0.0
242,Fiji,2015,Urban population (percent),,54.7
242,Fiji,2015,Urban population (percent growth rate per annum),,1.7
242,Fiji,2015,Rural population (percent growth rate per annum),,-0.4
242,Fiji,2018,Urban population (percent),,56.2
242,Fiji,2018,Capital city population (thousands),Suva,178.0
246,Finland,2005,Urban population (percent),,82.9
246,Finland,2005,Urban population (percent growth rate per annum),,0.4
246,Finland,2005,Rural population (percent growth rate per annum),,-0.6
246,Finland,2005,Capital city population (thousands),Helsinki,1067.0
246,Finland,2005,Capital city population (as a percentage of total population),Helsinki,20.3
246,Finland,2005,Capital city population (as a percentage of total urban population),Helsinki,24.5
246,Finland,2010,Urban population (percent),,83.8
246,Finland,2010,Urban population (percent growth rate per annum),,0.6
246,Finland,2010,Rural population (percent growth rate per annum),,-0.6
246,Finland,2010,Capital city population (thousands),Helsinki,1126.0
246,Finland,2010,Capital city population (as a percentage of total population),Helsinki,21.0
246,Finland,2010,Capital city population (as a percentage of total urban population),Helsinki,25.1
246,Finland,2015,Urban population (percent),,85.2
246,Finland,2015,Urban population (percent growth rate per annum),,0.8
246,Finland,2015,Rural population (percent growth rate per annum),,-1.5
246,Finland,2015,Capital city population (thousands),Helsinki,1222.0
246,Finland,2015,Capital city population (as a percentage of total population),Helsinki,22.3
246,Finland,2015,Capital city population (as a percentage of total urban population),Helsinki,26.2
246,Finland,2018,Urban population (percent),,85.4
246,Finland,2018,Capital city population (thousands),Helsinki,1279.0
250,France,2005,Urban population (percent),,77.1
250,France,2005,Urban population (percent growth rate per annum),,0.9
250,France,2005,Rural population (percent growth rate per annum),,-0.5
250,France,2005,Capital city population (thousands),Paris,10092.0
250,France,2005,Capital city population (as a percentage of total population),Paris,16.5
250,France,2005,Capital city population (as a percentage of total urban population),Paris,21.4
250,France,2010,Urban population (percent),,78.4
250,France,2010,Urban population (percent growth rate per annum),,0.9
250,France,2010,Rural population (percent growth rate per annum),,-0.5
250,France,2010,Capital city population (thousands),Paris,10460.0
250,France,2010,Capital city population (as a percentage of total population),Paris,16.6
250,France,2010,Capital city population (as a percentage of total urban population),Paris,21.2
250,France,2015,Urban population (percent),,79.7
250,France,2015,Urban population (percent growth rate per annum),,0.8
250,France,2015,Rural population (percent growth rate per annum),,-0.8
250,France,2015,Capital city population (thousands),Paris,10734.0
250,France,2015,Capital city population (as a percentage of total population),Paris,16.7
250,France,2015,Capital city population (as a percentage of total urban population),Paris,20.9
250,France,2018,Urban population (percent),,80.4
250,France,2018,Capital city population (thousands),Paris,10901.0
254,French Guiana,2005,Urban population (percent),,81.1
254,French Guiana,2005,Urban population (percent growth rate per annum),,5.0
254,French Guiana,2005,Rural population (percent growth rate per annum),,2.4
254,French Guiana,2010,Urban population (percent),,82.9
254,French Guiana,2010,Urban population (percent growth rate per annum),,3.2
254,French Guiana,2010,Rural population (percent growth rate per annum),,0.8
254,French Guiana,2015,Urban population (percent),,84.5
254,French Guiana,2015,Urban population (percent growth rate per annum),,3.1
254,French Guiana,2015,Rural population (percent growth rate per annum),,0.8
254,French Guiana,2018,Urban population (percent),,85.3
254,French Guiana,2018,Capital city population (thousands),Cayenne,58.0
258,French Polynesia,2005,Urban population (percent),,57.4
258,French Polynesia,2005,Urban population (percent growth rate per annum),,1.9
258,French Polynesia,2005,Rural population (percent growth rate per annum),,0.8
258,French Polynesia,2010,Urban population (percent),,60.3
258,French Polynesia,2010,Urban population (percent growth rate per annum),,2.0
258,French Polynesia,2010,Rural population (percent growth rate per annum),,-0.4
258,French Polynesia,2015,Urban population (percent),,61.7
258,French Polynesia,2015,Urban population (percent growth rate per annum),,1.2
258,French Polynesia,2015,Rural population (percent growth rate per annum),,0.0
258,French Polynesia,2018,Urban population (percent),,61.8
258,French Polynesia,2018,Capital city population (thousands),Papeete,136.0
266,Gabon,2005,Urban population (percent),,82.5
266,Gabon,2005,Urban population (percent growth rate per annum),,3.5
266,Gabon,2005,Rural population (percent growth rate per annum),,-1.1
266,Gabon,2005,Capital city population (thousands),Libreville,563.0
266,Gabon,2005,Capital city population (as a percentage of total population),Libreville,40.1
266,Gabon,2005,Capital city population (as a percentage of total urban population),Libreville,48.7
266,Gabon,2010,Urban population (percent),,85.5
266,Gabon,2010,Urban population (percent growth rate per annum),,3.9
266,Gabon,2010,Rural population (percent growth rate per annum),,-0.7
266,Gabon,2010,Capital city population (thousands),Libreville,649.0
266,Gabon,2010,Capital city population (as a percentage of total population),Libreville,39.5
266,Gabon,2010,Capital city population (as a percentage of total urban population),Libreville,46.2
266,Gabon,2015,Urban population (percent),,88.1
266,Gabon,2015,Urban population (percent growth rate per annum),,3.9
266,Gabon,2015,Rural population (percent growth rate per annum),,-0.7
266,Gabon,2015,Capital city population (thousands),Libreville,747.0
266,Gabon,2015,Capital city population (as a percentage of total population),Libreville,38.7
266,Gabon,2015,Capital city population (as a percentage of total urban population),Libreville,43.9
266,Gabon,2018,Urban population (percent),,89.4
266,Gabon,2018,Capital city population (thousands),Libreville,813.0
270,Gambia,2005,Urban population (percent),,52.0
270,Gambia,2005,Urban population (percent growth rate per annum),,4.8
270,Gambia,2005,Rural population (percent growth rate per annum),,1.5
270,Gambia,2005,Capital city population (thousands),Banjul,368.0
270,Gambia,2005,Capital city population (as a percentage of total population),Banjul,25.5
270,Gambia,2005,Capital city population (as a percentage of total urban population),Banjul,49.0
270,Gambia,2010,Urban population (percent),,55.7
270,Gambia,2010,Urban population (percent growth rate per annum),,4.5
270,Gambia,2010,Rural population (percent growth rate per annum),,1.6
270,Gambia,2010,Capital city population (thousands),Banjul,393.0
270,Gambia,2010,Capital city population (as a percentage of total population),Banjul,23.3
270,Gambia,2010,Capital city population (as a percentage of total urban population),Banjul,41.8
270,Gambia,2015,Urban population (percent),,59.2
270,Gambia,2015,Urban population (percent growth rate per annum),,4.4
270,Gambia,2015,Rural population (percent growth rate per annum),,1.4
270,Gambia,2015,Capital city population (thousands),Banjul,420.0
270,Gambia,2015,Capital city population (as a percentage of total population),Banjul,21.3
270,Gambia,2015,Capital city population (as a percentage of total urban population),Banjul,35.9
270,Gambia,2018,Urban population (percent),,61.3
270,Gambia,2018,Capital city population (thousands),Banjul,437.0
268,Georgia,2005,Urban population (percent),,53.6
268,Georgia,2005,Urban population (percent growth rate per annum),,-0.7
268,Georgia,2005,Rural population (percent growth rate per annum),,-1.4
268,Georgia,2005,Capital city population (thousands),Tbilisi,1081.0
268,Georgia,2005,Capital city population (as a percentage of total population),Tbilisi,24.1
268,Georgia,2005,Capital city population (as a percentage of total urban population),Tbilisi,44.9
268,Georgia,2010,Urban population (percent),,55.5
268,Georgia,2010,Urban population (percent growth rate per annum),,-0.5
268,Georgia,2010,Rural population (percent growth rate per annum),,-2.0
268,Georgia,2010,Capital city population (thousands),Tbilisi,1079.0
268,Georgia,2010,Capital city population (as a percentage of total population),Tbilisi,25.5
268,Georgia,2010,Capital city population (as a percentage of total urban population),Tbilisi,45.9
268,Georgia,2015,Urban population (percent),,57.4
268,Georgia,2015,Urban population (percent growth rate per annum),,-0.7
268,Georgia,2015,Rural population (percent growth rate per annum),,-2.2
268,Georgia,2015,Capital city population (thousands),Tbilisi,1078.0
268,Georgia,2015,Capital city population (as a percentage of total population),Tbilisi,27.3
268,Georgia,2015,Capital city population (as a percentage of total urban population),Tbilisi,47.5
268,Georgia,2018,Urban population (percent),,58.6
268,Georgia,2018,Capital city population (thousands),Tbilisi,1077.0
276,Germany,2005,Urban population (percent),,76.0
276,Germany,2005,Urban population (percent growth rate per annum),,0.3
276,Germany,2005,Rural population (percent growth rate per annum),,-0.8
276,Germany,2005,Capital city population (thousands),Berlin,3391.0
276,Germany,2005,Capital city population (as a percentage of total population),Berlin,4.2
276,Germany,2005,Capital city population (as a percentage of total urban population),Berlin,5.5
276,Germany,2010,Urban population (percent),,77.0
276,Germany,2010,Urban population (percent growth rate per annum),,0.1
276,Germany,2010,Rural population (percent growth rate per annum),,-1.0
276,Germany,2010,Capital city population (thousands),Berlin,3450.0
276,Germany,2010,Capital city population (as a percentage of total population),Berlin,4.3
276,Germany,2010,Capital city population (as a percentage of total urban population),Berlin,5.5
276,Germany,2015,Urban population (percent),,77.2
276,Germany,2015,Urban population (percent growth rate per annum),,0.3
276,Germany,2015,Rural population (percent growth rate per annum),,0.0
276,Germany,2015,Capital city population (thousands),Berlin,3514.0
276,Germany,2015,Capital city population (as a percentage of total population),Berlin,4.3
276,Germany,2015,Capital city population (as a percentage of total urban population),Berlin,5.6
276,Germany,2018,Urban population (percent),,77.3
276,Germany,2018,Capital city population (thousands),Berlin,3552.0
288,Ghana,2005,Urban population (percent),,47.3
288,Ghana,2005,Urban population (percent growth rate per annum),,4.1
288,Ghana,2005,Rural population (percent growth rate per annum),,1.3
288,Ghana,2005,Capital city population (thousands),Accra,1854.0
288,Ghana,2005,Capital city population (as a percentage of total population),Accra,8.6
288,Ghana,2005,Capital city population (as a percentage of total urban population),Accra,18.2
288,Ghana,2010,Urban population (percent),,50.7
